id,name,popularity,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,75,OneRepublic,0.664,0.705,0.0382,0.0654,0,0.115,0.477,dance pop
7qiZfU4dY1lWllzX7mPBI3,Shape of You,89,Ed Sheeran,0.825,0.652,0.0802,0.581,0,0.0931,0.931,dance pop
0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,76,Alessia Cara,0.573,0.739,0.129,0.0285,0,0.111,0.451,dance pop
6tF92PMv01Ug9Dh8Rmy6nH,New Rules,67,Dua Lipa,0.762,0.7,0.0694,0.00261,0.0000156,0.153,0.608,dance pop
0ofbQMrRDsUaVKq2mGLEAb,Havana,36,Camila Cabello,0.768,0.517,0.0312,0.186,0.000038,0.104,0.418,dance pop
1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),86,Ed Sheeran,0.587,0.299,0.0263,0.779,0,0.123,0.356,pop
6FlAGda9qkDhTU7ctFM4uG,Crazy,68,Gnarls Barkley,0.864,0.474,0.0367,0.0259,0.0487,0.0906,0.602,neo soul
0Qh38w01QRXK6KHIv0e3hb,What About Us,81,P!nk,0.489,0.588,0.0507,0.0285,0.00000211,0.0906,0.187,dance pop
7IQ7Tk8D6fFAgl6aL7u5ia,Rude (Acoustic),73,MAGIC!,0.736,0.847,0.0756,0.358,0,0.101,0.915,pop
023OVLNzXhX0j7CxswUt6D,Cheerleader - Felix Jaehn Remix Radio Edit,66,OMI,0.78,0.68,0.0305,0.141,0.000012,0.138,0.594,dance pop
7BKLCZ1jbUBVqRi2FVlTVw,Closer,87,The Chainsmokers,0.748,0.524,0.0338,0.414,0,0.111,0.661,edm
6GmUVqe73u5YRfUUynZK6I,Let Her Go,73,Passenger,0.479,0.545,0.0688,0.365,0,0.0963,0.244,neo mellow
4G8gkOterJn0Ywt6uhqbhp,Radioactive,74,Imagine Dragons,0.448,0.784,0.0627,0.106,0.000108,0.668,0.236,modern rock
3d8y0t70g7hw2FOWl9Z4Fm,Ophelia,71,The Lumineers,0.664,0.573,0.0277,0.613,0.000363,0.0857,0.566,folk-pop
7DrluKkTviBwCc8AV3VGmf,Clandestino,90,Shakira,0.766,0.822,0.16,0.39,0.0000337,0.349,0.881,colombian pop
3VlbOrM6nYPprVvzBZllE5,Too Good At Goodbyes,80,Sam Smith,0.661,0.373,0.0505,0.615,0,0.177,0.523,pop
3Du2K5dLzmduCNp6uwuaL0,Sorry Not Sorry,84,Demi Lovato,0.702,0.635,0.265,0.0223,0,0.283,0.873,dance pop
3d9DChrdc6BOeFsbrZ3Is0,Under The Bridge,83,Red Hot Chili Peppers,0.559,0.345,0.0459,0.0576,0.000105,0.141,0.458,alternative rock
