id,name,popularity,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre,
6Y7vgyXBoedIKgvmZSYXMw,Double Down,56,Slothrust,0.6370,0.636,0.109,0.011,0.00139,0.0706,0.788,brooklyn indie,
7cb48KKYHn6UJACY02ABZl,Fuck a Bomb,56,Republican Hair,0.6530,0.744,0.0958,0.0619,0,0.295,0.753,unknown,
3axNvNVXW11vfhQrNdbCOV,Your Own,56,SALES,0.7640,0.457,0.0272,0.516,0.000024,0.201,0.764,indie garage rock,
7DeJ8TdwgNpz6Un0SiskhX,Six Years,56,A Blaze of Feather,0.4020,0.476,0.0289,0.334,0.0701,0.0947,0.164,chamber pop,
1MaI6NwdrqnE3mRzOYTpoo,Bomb Intro / Pass That Dutch,56,Missy Elliott,0.8990,0.645,0.271,0.0435,0.101,0.358,0.348,dance pop,
6qTF7EjSSecc1rip7xckgN,Pretty Women,56,Connie Han,0.5150,0.184,0.0426,0.858,0.18,0.12,0.218,unknown,
50ma4LjaP5XDL1BsHrZ1D9,Dim,56,Davy Mooney,0.4030,0.13,0.0374,0.969,0.804,0.125,0.0904,unknown,
3LZ0GUgBO1XXW6jKK5A2lJ,Sad Tune,56,European Jazz Trio,0.5180,0.0493,0.0346,0.9,0.879,0.349,0.16,japanese jazz,
3s2RFp5hU6jEvAmfZrnrAi,I'll Let You Know,56,David Hazeltine,0.4420,0.124,0.0388,0.92,0.605,0.21,0.2,stride,
14aFuIi1l2arBrZfBv9fBP,Good Morning Heartache,56,Scott Hamilton,0.5260,0.17,0.0411,0.823,0.777,0.114,0.18,adult standards,
4lj4cW45UP5tQ8AhRxnQi9,Before It's Time To Say Goodbye,56,Kenny Garrett,0.3640,0.114,0.0333,0.857,0.635,0.0839,0.0575,bebop,
4zPDjRgceGrR0Sm54YDTTf,Autumn Nocturne,56,Lou Donaldson,0.5390,0.0678,0.0468,0.967,0.168,0.114,0.263,bebop,
1o58Z1uYnQUqfFHaA8ykIC,Knightridah,56,Imran Khan,0.8280,0.614,0.051,0.0594,0,0.142,0.639,bhangra,
49eeirITrqP3pJALseu6Ed,Cherry,56,Rina Sawayama,0.5770,0.79,0.0494,0.0129,0.00000506,0.334,0.645,art pop,
1VwOad23MsNZkmDyIyxEXe,Cherry Blossom Love Song,56,CHEN,0.3770,0.304,0.0323,0.861,0,0.356,0.212,k-pop,
3HbODbLPYqeHcRXApoWJDy,Forever,56,EXO,0.6090,0.825,0.0748,0.0588,0,0.35,0.333,k-pop,
64EJgeHPkqJThnr7RDppo3,내가 미쳐 Going Crazy,56,EXO,0.5910,0.782,0.0389,0.128,0,0.114,0.709,k-pop,
2yGoiZes2YcueNA4nGDmdS,Bang Bang,56,Dispatch,0.5720,0.488,0.124,0.668,0,0.11,0.642,jam band,
6bXie9wd4w6z9Nr4I9lPne,Inferno,56,Amaranthe,0.5600,0.97,0.106,0.000244,0.0000206,0.182,0.381,gothic symphonic metal,
2MhppPQbaj2EqJUjIWZurg,No Masters,56,Bad Wolves,0.4950,0.949,0.054,0.0000405,0.00167,0.328,0.501,alternative metal,
3GQsfsRqUVGLq19TOd9PBU,20/20,56,Crown The Empire,0.3190,0.925,0.0708,0.000227,0.00923,0.413,0.492,metalcore,
6NgdiN6wiPU7a3bgU85tKV,365,56,Amaranthe,0.4750,0.878,0.0707,0.000227,0.00000724,0.3,0.477,gothic symphonic metal,
4pQiWe7SzoQdGF6z8ZoZ9v,Nonstop,56,Drake,0.9120,0.405,0.157,0.0104,0.0427,0.105,0.428,canadian hip hop,
7LAZoVMv0qo20VpimTOBsi,From The Outside,56,Real Friends,0.5100,0.979,0.0607,0.00391,0,0.334,0.72,alternative emo,
1tJtx09XQnxaynZLOaTNfZ,Car Wash,56,Rose Royce,0.8060,0.706,0.0909,0.028,0,0.07,0.608,classic soul,
75PHqzep3Lf11sIYP5ps5q,The Hustle - Original Mix,56,Van McCoy,0.6270,0.875,0.0741,0.232,0.475,0.0759,0.854,disco,
7htuX4mIrg5njoVXm1QSkU,The Love I Lost,56,Harold Melvin & The Blue Notes,0.6840,0.714,0.0495,0.201,0,0.0727,0.763,classic soul,
3bMfUUpzUzqWp9II00yRhE,Christmas Time Is Here - Vocal - Album Version,56,Vince Guaraldi Trio,0.3440,0.129,0.036,0.984,0.0000446,0.161,0.0996,adult standards,
5ymVfeMK8cDew5vzntTuc7,Sleigh Ride,56,Andy Williams,0.5710,0.634,0.0537,0.724,0,0.0864,0.805,adult standards,
5Xh97PTcc1LxMF8sc8Xhis,Feel It Still - Recorded at Spotify Studios NYC,56,Portugal. The Man,0.7460,0.511,0.0508,0.197,0.00202,0.0589,0.865,indie pop,
1OmKo4t4Bh95xQI6WGiUR3,On the Road Again,56,Willie Nelson,0.7140,0.724,0.042,0.55,0.101,0.826,0.802,country,
48nZLOpJOINkICPWpUuhaN,Universal Sound,56,Tyler Childers,0.6720,0.437,0.0368,0.85,0.261,0.107,0.636,new americana,
38paDDziQ57k1f4VfKTeGk,California Stars,56,Billy Bragg,0.6220,0.736,0.0292,0.422,0.0000118,0.0829,0.723,alternative country,
0x5EMnC2M9pDTAAStksrDt,I'll Fly Away - From “O Brother  Where Art Thou” Soundtrack,56,Gillian Welch,0.6840,0.253,0.0341,0.985,0.0317,0.118,0.521,alternative country,
1aFwSu8VwCuOKQoJuZIzEN,Coming Down the Mountain,56,Mipso,0.5820,0.344,0.0278,0.857,0.0871,0.15,0.374,deep new americana,
1IcnHHfeAkdc88LybFWwb9,Me Liberé,57,El Gran Combo De Puerto Rico,0.7540,0.875,0.0407,0.395,0,0.0905,0.967,boogaloo,
7JK0nPw98vJmgEElMUfg5v,Take It From Me,57,Jordan Davis,0.5980,0.893,0.0497,0.0227,0,0.352,0.667,canadian contemporary country,
04WFKaQNQcH23eezAMbPsH,Nothing Personal,57,Night Riots,0.6030,0.825,0.0288,0.00629,0.0000029,0.136,0.415,indie pop,
2U6hcDLZHYRSd9Up0mMe9W,Temporary Love,57,The Brinks,0.7140,0.555,0.0459,0.656,0.000289,0.11,0.329,unknown,
6W2nxxERQlWvRCCHdhKYww,One More Day - Nicky Romero Remix,57,Afrojack,0.4780,0.655,0.0445,0.106,0.00000554,0.123,0.166,big room,
6QKtCL5SUseSpvEMJpJPOa,California Friends,57,The Regrettes,0.6010,0.676,0.0926,0.00414,0,0.186,0.391,unknown,
3YOv5LNRVbrmWnVVyk3Flj,New Birth in New England,57,Phosphorescent,0.5600,0.959,0.0652,0.245,0.652,0.531,0.618,alternative country,
6mV07lqIpvpBh3xBXn1M71,You Would Have to Lose Your Mind,57,The Barr Brothers,0.3440,0.447,0.0254,0.173,0.723,0.12,0.242,chamber pop,
4QcDhDJkTBRjv4hNXtftcf,Arrows,57,Haux,0.3290,0.145,0.0378,0.923,0.00804,0.11,0.181,chamber pop,
4LmzPJDil70LpiApWfOI6O,Milkshake,57,Kelis,0.8870,0.774,0.0434,0.00933,0.0213,0.159,0.826,dance pop,
6g6U5Ip7Tvm1xsctpflOuk,Uphill,57,Karin Hammar,0.4270,0.0445,0.0381,0.989,0.902,0.112,0.153,jazz brass,
0XXHKJqxoDfr5dzmqFlTVO,Theme For Ernie,57,Fredrik Kronkvist,0.4450,0.144,0.0367,0.929,0.664,0.164,0.206,unknown,
4rznhkoOr1AYneKuWBef4V,Ciaccona per Embrik,57,Trygve Seim,0.3020,0.0166,0.0475,0.974,0.0714,0.0737,0.235,contemporary jazz,
4Hus6AQNHezUdbBKuo1aE8,I Miss You,57,Emil Brandqvist Trio,0.4460,0.188,0.0303,0.786,0.0916,0.104,0.0988,jazz trio,
0D5PNTs1HSYe2nHlHulJQw,Naima,57,Tommy Flanagan,0.4370,0.0375,0.0403,0.797,0.692,0.114,0.126,bebop,
3ZnPVp4Frub6UadiiiGDD9,What Are You Doing the Rest of Your Life?,57,Rolf Kühn,0.4900,0.114,0.0359,0.934,0.262,0.124,0.15,german jazz,
6f6OQJv9qjqyJq9NHin45n,Blue Ballad,57,Phil Woods,0.4700,0.156,0.0399,0.623,0.187,0.104,0.059,bebop,
39ujbBjTwwqUFySaCYDMMT,Proper Patola,57,Badshah,0.7700,0.824,0.0851,0.485,0,0.318,0.49,desi,
6hYdhO1BF8V03tuF8pADKP,Or Nah (feat. Wiz Khalifa) - Live from The Village  Los Angeles,57,Ty Dolla $ign,0.7030,0.423,0.0406,0.0385,0,0.0476,0.265,hip hop,
7MXYfLhcOjb8DHI38M8CdN,Killing My Time,57,G Flip,0.8380,0.609,0.0446,0.442,0.00000199,0.0742,0.609,deep australian indie,
